x,y,filename
-30.329397,21.134855,"data/output/png/mp-675902_[0, 0, 1].png"
69.48198,33.690243,"data/output/png/mp-753611_[0, 0, 1].png"
-29.64623,56.132633,"data/output/png/mp-776397_[0, 0, 1].png"
-6.103402,70.43307,"data/output/png/mp-766710_[0, 0, 1].png"
-36.510612,21.82287,"data/output/png/mp-728291_[0, 0, 1].png"
-31.98371,28.901705,"data/output/png/mp-865838_[0, 0, 1].png"
-46.295303,31.69122,"data/output/png/mp-2712985_[0, 0, 1].png"
-1.2703409,29.462385,"data/output/png/mp-720971_[0, 0, 1].png"
8.440492,-20.330841,"data/output/png/mp-757866_[0, 0, 1].png"
-10.68422,68.29872,"data/output/png/mp-777972_[0, 0, 1].png"
13.215032,-81.446846,"data/output/png/mp-555186_[0, 0, 1].png"
7.4118767,13.079832,"data/output/png/mp-542996_[0, 0, 1].png"
-12.052573,-58.397224,"data/output/png/mp-1018890_[0, 0, 1].png"
-28.824198,-40.2823,"data/output/png/mp-2716154_[0, 0, 1].png"
30.735792,-11.835559,"data/output/png/mp-1219859_[0, 0, 1].png"
-8.023881,-67.284805,"data/output/png/mp-977345_[0, 0, 1].png"
10.105677,14.591787,"data/output/png/mp-770387_[0, 0, 1].png"
-42.594807,32.47728,"data/output/png/mp-1220946_[0, 0, 1].png"
-32.418045,65.300385,"data/output/png/mp-1095343_[0, 0, 1].png"
14.583854,48.412983,"data/output/png/mp-27949_[0, 0, 1].png"
-38.129627,67.32028,"data/output/png/mp-2712760_[0, 0, 1].png"
-35.381413,-25.430641,"data/output/png/mp-924129_[0, 0, 1].png"
-20.285816,-34.96943,"data/output/png/mp-1207786_[0, 0, 1].png"
22.308352,48.256954,"data/output/png/mp-1021464_[0, 0, 1].png"
-61.696514,-59.131832,"data/output/png/mp-567203_[0, 0, 1].png"
-82.3256,7.6120844,"data/output/png/mp-2713975_[0, 0, 1].png"
81.35629,6.3678193,"data/output/png/mp-1019558_[0, 0, 1].png"
4.1762767,-14.564825,"data/output/png/mp-560025_[0, 0, 1].png"
-58.931786,-53.00141,"data/output/png/mp-20308_[0, 0, 1].png"
-55.83294,-61.83587,"data/output/png/mp-2712603_[0, 0, 1].png"
-8.516214,64.94148,"data/output/png/mp-1019512_[0, 0, 1].png"
62.401047,-3.5338218,"data/output/png/mp-541550_[0, 0, 1].png"
-41.092014,-2.9420686,"data/output/png/mp-1075111_[0, 0, 1].png"
64.79679,35.05709,"data/output/png/mp-1207633_[0, 0, 1].png"
48.464554,20.815498,"data/output/png/mp-3239_[0, 0, 1].png"
0.33427832,-1.7802033,"data/output/png/mp-2713846_[0, 0, 1].png"
-23.465157,-28.111393,"data/output/png/mp-559904_[0, 0, 1].png"
-73.059525,-9.778135,"data/output/png/mp-2713493_[0, 0, 1].png"
48.4536,21.760065,"data/output/png/mp-30847_[0, 0, 1].png"
-10.786347,-76.5622,"data/output/png/mp-1075341_[0, 0, 1].png"
-57.80361,-49.04518,"data/output/png/mp-1045821_[0, 0, 1].png"
1.1876477,83.982155,"data/output/png/mp-1068734_[0, 0, 1].png"
-37.368053,-3.2297873,"data/output/png/mp-1250148_[0, 0, 1].png"
-28.01387,18.946398,"data/output/png/mp-10413_[0, 0, 1].png"
-47.69055,59.23215,"data/output/png/mp-1216568_[0, 0, 1].png"
3.563675,-20.274153,"data/output/png/mp-29560_[0, 0, 1].png"
-78.17771,8.7328825,"data/output/png/mp-2712797_[0, 0, 1].png"
-1.3305202,63.130238,"data/output/png/mp-2713540_[0, 0, 1].png"
-81.28418,-6.03775,"data/output/png/mp-28508_[0, 0, 1].png"
-13.880858,-67.227936,"data/output/png/mp-1206157_[0, 0, 1].png"
-28.998005,3.4377131,"data/output/png/mp-1047387_[0, 0, 1].png"
45.121338,18.46888,"data/output/png/mp-777553_[0, 0, 1].png"
-16.188204,30.978134,"data/output/png/mp-1245467_[0, 0, 1].png"
