UMAP-1,UMAP-2,filename
-2.9164252,13.203945,"data/output/png/mp-675902_[0, 0, 1].png"
4.6725197,15.570267,"data/output/png/mp-753611_[0, 0, 1].png"
-13.49659,-8.124023,"data/output/png/mp-776397_[0, 0, 1].png"
-12.101389,9.232323,"data/output/png/mp-766710_[0, 0, 1].png"
-3.327962,13.494438,"data/output/png/mp-728291_[0, 0, 1].png"
-3.6346416,13.101204,"data/output/png/mp-865838_[0, 0, 1].png"
-4.6319523,14.0228405,"data/output/png/mp-2712985_[0, 0, 1].png"
-8.908763,-13.374947,"data/output/png/mp-720971_[0, 0, 1].png"
1.1996436,0.06603432,"data/output/png/mp-757866_[0, 0, 1].png"
-11.80908,9.220207,"data/output/png/mp-777972_[0, 0, 1].png"
-8.90309,-1.3359842,"data/output/png/mp-555186_[0, 0, 1].png"
-8.679901,-15.120672,"data/output/png/mp-542996_[0, 0, 1].png"
-4.982811,-4.9787827,"data/output/png/mp-1018890_[0, 0, 1].png"
1.3978639,-9.308546,"data/output/png/mp-2716154_[0, 0, 1].png"
-5.248827,4.7938023,"data/output/png/mp-1219859_[0, 0, 1].png"
-6.3784885,-3.831328,"data/output/png/mp-977345_[0, 0, 1].png"
-8.517946,-15.240612,"data/output/png/mp-770387_[0, 0, 1].png"
-4.312022,13.625145,"data/output/png/mp-1220946_[0, 0, 1].png"
-13.686705,-7.2376366,"data/output/png/mp-1095343_[0, 0, 1].png"
7.1819363,9.360468,"data/output/png/mp-27949_[0, 0, 1].png"
-14.198896,-7.0593452,"data/output/png/mp-2712760_[0, 0, 1].png"
2.2231388,-10.441914,"data/output/png/mp-924129_[0, 0, 1].png"
1.0361977,-9.560221,"data/output/png/mp-1207786_[0, 0, 1].png"
7.539792,9.543174,"data/output/png/mp-1021464_[0, 0, 1].png"
-3.217967,-11.165052,"data/output/png/mp-567203_[0, 0, 1].png"
13.430281,-10.225887,"data/output/png/mp-2713975_[0, 0, 1].png"
7.081686,-5.9840126,"data/output/png/mp-1019558_[0, 0, 1].png"
1.7792282,-0.30636168,"data/output/png/mp-560025_[0, 0, 1].png"
-3.5063972,-10.566801,"data/output/png/mp-20308_[0, 0, 1].png"
-3.508932,-11.638861,"data/output/png/mp-2712603_[0, 0, 1].png"
-11.739025,9.668697,"data/output/png/mp-1019512_[0, 0, 1].png"
7.5214577,-4.2211924,"data/output/png/mp-541550_[0, 0, 1].png"
1.3547459,6.076806,"data/output/png/mp-1075111_[0, 0, 1].png"
4.2452745,15.838541,"data/output/png/mp-1207633_[0, 0, 1].png"
13.945568,7.110873,"data/output/png/mp-3239_[0, 0, 1].png"
2.2205849,-1.5057344,"data/output/png/mp-2713846_[0, 0, 1].png"
1.5417652,-9.903732,"data/output/png/mp-559904_[0, 0, 1].png"
13.106714,-8.291087,"data/output/png/mp-2713493_[0, 0, 1].png"
13.931808,7.1453304,"data/output/png/mp-30847_[0, 0, 1].png"
-7.3163347,-3.6916528,"data/output/png/mp-1075341_[0, 0, 1].png"
-3.7524557,-10.313198,"data/output/png/mp-1045821_[0, 0, 1].png"
-13.409668,8.605219,"data/output/png/mp-1068734_[0, 0, 1].png"
1.6843071,5.749052,"data/output/png/mp-1250148_[0, 0, 1].png"
-2.7310085,13.034019,"data/output/png/mp-10413_[0, 0, 1].png"
-14.356642,-7.1235037,"data/output/png/mp-1216568_[0, 0, 1].png"
1.2069664,-0.44995785,"data/output/png/mp-29560_[0, 0, 1].png"
13.056437,-10.275811,"data/output/png/mp-2712797_[0, 0, 1].png"
-12.076639,9.940609,"data/output/png/mp-2713540_[0, 0, 1].png"
13.561672,-8.774225,"data/output/png/mp-28508_[0, 0, 1].png"
-6.376789,-4.3321185,"data/output/png/mp-1206157_[0, 0, 1].png"
2.3197794,5.165951,"data/output/png/mp-1047387_[0, 0, 1].png"
13.791695,6.8836403,"data/output/png/mp-777553_[0, 0, 1].png"
-4.079454,12.086731,"data/output/png/mp-1245467_[0, 0, 1].png"
-14.070873,-7.0548058,"data/output/png/mp-5046_[0, 0, 1].png"
14.406683,0.10668564,"data/output/png/mp-557740_[0, 0, 1].png"
-8.953639,-1.2766132,"data/output/png/mp-558580_[0, 0, 1].png"
8.331884,-4.400709,"data/output/png/mp-706430_[0, 0, 1].png"
1.2807512,5.898945,"data/output/png/mp-1208518_[0, 0, 1].png"
-4.546198,4.533,"data/output/png/mp-696130_[0, 0, 1].png"
7.7166243,9.143493,"data/output/png/mp-2715505_[0, 0, 1].png"
-7.2742004,-3.280838,"data/output/png/mp-676431_[0, 0, 1].png"
-3.791212,0.633934,"data/output/png/mp-16327_[0, 0, 1].png"
2.4025664,-1.1935749,"data/output/png/mp-1035561_[0, 0, 1].png"
-4.684083,4.3434696,"data/output/png/mp-9967_[0, 0, 1].png"
-8.702652,-13.291828,"data/output/png/mp-1043759_[0, 0, 1].png"
-3.3447666,1.1033144,"data/output/png/mp-683970_[0, 0, 1].png"
-14.269846,-7.3060036,"data/output/png/mp-753965_[0, 0, 1].png"
13.035122,-10.015931,"data/output/png/mp-2715696_[0, 0, 1].png"
7.6691284,-5.348261,"data/output/png/mp-555836_[0, 0, 1].png"
-9.53419,-12.928726,"data/output/png/mp-797054_[0, 0, 1].png"
1.8042936,-0.41625786,"data/output/png/mp-17486_[0, 0, 1].png"
-4.9542933,4.895878,"data/output/png/mp-1075018_[0, 0, 1].png"
-3.8720598,12.052128,"data/output/png/mp-1078908_[0, 0, 1].png"
12.932064,5.7327366,"data/output/png/mp-1190833_[0, 0, 1].png"
13.485132,-10.090215,"data/output/png/mp-5986_[0, 0, 1].png"
12.728781,-10.268049,"data/output/png/mp-29174_[0, 0, 1].png"
0.7233958,-9.365745,"data/output/png/mp-1210353_[0, 0, 1].png"
1.9783478,5.457245,"data/output/png/mp-570377_[0, 0, 1].png"
2.500444,-0.46447277,"data/output/png/mp-972848_[0, 0, 1].png"
-3.9993992,-10.143408,"data/output/png/mp-1157227_[0, 0, 1].png"
1.4368029,-9.93586,"data/output/png/mp-1252396_[0, 0, 1].png"
-7.7214775,-2.4108772,"data/output/png/mp-686294_[0, 0, 1].png"
1.2353325,-10.228645,"data/output/png/mp-565843_[0, 0, 1].png"
-4.460268,4.248312,"data/output/png/mp-27189_[0, 0, 1].png"
1.8250518,-1.4600134,"data/output/png/mp-2715550_[0, 0, 1].png"
12.932001,-9.44545,"data/output/png/mp-2715357_[0, 0, 1].png"
-13.450407,-7.729931,"data/output/png/mp-1602_[0, 0, 1].png"
